id;host_id;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
28914906;217954501;Botafogo;-22.9521;-43.18548;Entire home/apt;229;4;23;24/01/2021;0.84;1;36
28927526;218030475;Centro;-22.91101;-43.18836;Private room;95;3;23;03/01/2021;0.8;4;19
28928531;119978323;Copacabana;-22.97438;-43.18776;Entire home/apt;250;2;28;16/02/2021;0.93;1;172
28928702;1537641;Humaitá;-22.9587;-43.20161;Entire home/apt;800;1;24;07/03/2021;0.89;7;365
28929533;44685685;Recreio dos Bandeirantes;-23.02486;-43.45905;Entire home/apt;980;2;18;17/03/2021;1;1;353
28932487;218082728;Recreio dos Bandeirantes;-23.02448;-43.51209;Entire home/apt;150;2;24;03/01/2020;0.81;1;0
28934421;209324163;Copacabana;-22.97728;-43.19173;Entire home/apt;120;3;61;21/02/2021;2.14;1;346
28934749;51443132;Jardim Botânico;-22.96536;-43.22241;Private room;55;7;6;26/02/2020;0.22;1;345
28951485;71086179;Santa Teresa;-22.91465;-43.18093;Private room;65;1;22;06/01/2021;0.76;4;352
28951871;32856128;Copacabana;-22.96717;-43.17933;Entire home/apt;329;3;1;27/02/2020;0.08;1;87
28952745;158933362;Botafogo;-22.95233;-43.18064;Private room;50;1;7;19/07/2019;0.25;12;266
28953352;10507162;Copacabana;-22.98264;-43.19387;Entire home/apt;222;4;0;;;18;70
28956067;158933362;Botafogo;-22.95253;-43.18161;Private room;60;1;46;28/02/2021;1.6;12;361
28956855;218266997;Barra da Tijuca;-23.00349;-43.37402;Private room;450;1;1;05/10/2018;0.03;1;0
28959699;11067099;Botafogo;-22.95557;-43.18531;Private room;80;3;0;;;2;356
28960874;218030475;Centro;-22.91121;-43.18895;Private room;70;3;50;22/03/2021;1.72;4;170
28961925;218030475;Centro;-22.91012;-43.18762;Private room;95;3;21;22/11/2020;0.75;4;180
28964596;5737780;Copacabana;-22.97407;-43.19024;Entire home/apt;163;5;40;13/03/2021;1.36;15;75
28966397;14314998;Ipanema;-22.98333;-43.21321;Entire home/apt;13658;5;0;;;30;12
28974850;11503761;Copacabana;-22.97998;-43.18912;Entire home/apt;295;7;4;15/02/2021;0.15;2;365
28985097;104143425;Leme;-22.96111;-43.16978;Entire home/apt;600;5;1;10/10/2018;0.03;1;365
28987937;214347792;Copacabana;-22.96375;-43.17501;Entire home/apt;140;2;5;17/02/2021;0.38;1;39
29001451;158933362;Botafogo;-22.95253;-43.18196;Private room;54;1;3;06/10/2019;0.1;12;295
29004291;218604634;Ipanema;-22.9845;-43.20246;Entire home/apt;289;2;23;11/03/2021;0.79;1;127
29004883;202504432;Barra da Tijuca;-23.01336;-43.3022;Entire home/apt;288;2;102;07/03/2021;3.4;2;222
29005205;16948946;Copacabana;-22.9842;-43.19046;Entire home/apt;164;4;27;14/03/2021;1;1;69
29007613;157701889;Tijuca;-22.9267;-43.23055;Private room;65;1;40;31/12/2020;1.36;3;39
29007748;218632842;Barra da Tijuca;-23.01042;-43.31622;Entire home/apt;500;90;10;25/02/2020;0.4;1;363
29021774;111555164;Portuguesa;-22.7963;-43.20742;Private room;69;1;21;27/02/2021;0.72;10;362
29028713;60635695;Tijuca;-22.92722;-43.23829;Entire home/apt;604;4;6;19/06/2019;0.22;2;358
29028852;37332403;Ipanema;-22.98543;-43.19503;Entire home/apt;250;2;13;24/01/2021;0.49;2;359
29029122;218775131;Copacabana;-22.97367;-43.19317;Entire home/apt;1200;3;1;26/02/2020;0.08;1;362
29031515;129397440;Leme;-22.96424;-43.17135;Entire home/apt;148;35;0;;;1;365
29036249;189535285;Leblon;-22.98161;-43.21992;Entire home/apt;350;2;1;07/10/2019;0.06;3;89
29038411;8006333;Copacabana;-22.98297;-43.18973;Entire home/apt;545;4;39;01/02/2021;1.44;2;152
29038480;84766753;Centro;-22.91573;-43.18908;Entire home/apt;150;1;8;16/11/2019;0.32;2;363
29038779;218850136;Copacabana;-22.96527;-43.19423;Entire home/apt;57;1;14;21/03/2021;0.52;1;330
29051942;4307081;Ipanema;-22.98306;-43.21262;Entire home/apt;386;3;1;07/10/2018;0.03;57;365
29054445;156214477;Copacabana;-22.96346;-43.17391;Entire home/apt;100;3;79;02/03/2021;2.66;1;61
29056053;16969453;Copacabana;-22.97565;-43.18992;Entire home/apt;142;2;13;01/03/2021;0.5;1;356
29076771;219105429;Centro;-22.91015;-43.177;Entire home/apt;150;4;26;02/03/2020;0.87;1;365
29080473;219149746;Barra da Tijuca;-23.00229;-43.38826;Hotel room;600;2;7;02/05/2020;0.31;2;364
29092238;12909867;Copacabana;-22.98639;-43.1898;Entire home/apt;253;3;10;10/06/2019;0.34;34;356
29094612;198988629;Ipanema;-22.98397;-43.1958;Hotel room;210;1;6;07/01/2021;0.21;4;89
29095271;76942429;Copacabana;-22.98114;-43.19566;Entire home/apt;180;2;25;18/01/2021;0.84;1;186
29100134;4380079;Ipanema;-22.98069;-43.19895;Entire home/apt;213;3;4;18/11/2019;0.15;1;354
29102420;26732146;Copacabana;-22.97239;-43.19054;Private room;70;2;71;15/03/2020;2.39;2;266
29102753;219337412;Copacabana;-22.96514;-43.19204;Entire home/apt;1000;4;0;;;1;178
29104627;1271712;Botafogo;-22.95331;-43.19055;Private room;53;2;1;06/12/2019;0.06;2;232
29105160;14135513;Copacabana;-22.97103;-43.1838;Private room;100;3;4;29/02/2020;0.15;2;86
29116943;189985181;Ipanema;-22.98433;-43.2057;Entire home/apt;281;3;16;07/01/2021;0.57;1;65
29123469;216089239;Copacabana;-22.97317;-43.18685;Private room;130;2;2;07/09/2020;0.07;3;89
29123916;78947953;Jardim Botânico;-22.96225;-43.21868;Entire home/apt;54;7;1;01/03/2020;0.08;2;0
29127110;46570804;Tijuca;-22.91856;-43.21659;Private room;95;7;2;06/01/2020;0.08;1;365
29129289;5177176;Ipanema;-22.98566;-43.20197;Entire home/apt;284;3;1;06/03/2019;0.04;2;332
29129842;89507559;Copacabana;-22.97519;-43.18761;Entire home/apt;150;2;96;08/03/2021;3.23;2;85
29130364;11658940;Ipanema;-22.9853;-43.19543;Private room;190;2;17;18/02/2020;0.59;1;180
29133387;503995;Ipanema;-22.98279;-43.20052;Entire home/apt;291;1;58;27/01/2021;1.95;7;290
29135500;167472593;Camorim;-22.97485;-43.41488;Entire home/apt;376;1;1;22/10/2018;0.03;26;300
29147532;48024;Centro;-22.90923;-43.18972;Entire home/apt;100;20;0;;;2;160
29148155;64414731;Barra da Tijuca;-22.99822;-43.33901;Private room;120;2;56;03/01/2021;1.9;1;180
29150125;199945120;Copacabana;-22.97216;-43.18641;Hotel room;53;25;12;28/11/2020;0.41;6;143
29152322;166038302;Jardim Guanabara;-22.81445;-43.20635;Entire home/apt;268;2;0;;;1;88
29157572;1982737;Ipanema;-22.98195;-43.19915;Entire home/apt;360;2;5;26/02/2020;0.18;44;255
29157999;41707580;Centro;-22.90929;-43.17339;Private room;539;2;0;;;2;88
29175661;41707580;Anil;-22.95518;-43.33331;Private room;540;2;0;;;2;89
29177221;68805312;Copacabana;-22.96625;-43.18298;Entire home/apt;85;2;30;10/03/2021;1.34;1;365
29177255;2119105;Maracanã;-22.91659;-43.22434;Entire home/apt;145;4;2;16/01/2021;0.15;1;357
29185228;214303727;Barra da Tijuca;-23.00155;-43.30805;Entire home/apt;90;2;12;02/01/2021;0.41;3;357
29186197;2513825;Ipanema;-22.98458;-43.19579;Entire home/apt;222;3;100;16/03/2021;3.49;20;81
29187825;40499424;Copacabana;-22.96595;-43.19132;Entire home/apt;350;4;1;26/02/2020;0.08;1;173
29190877;1422607;Leblon;-22.98163;-43.22214;Entire home/apt;288;4;20;30/09/2020;0.73;41;126
29203814;78947953;Jardim Botânico;-22.96257;-43.21784;Entire home/apt;56;7;0;;;2;0
29208425;154201850;Copacabana;-22.97595;-43.18891;Entire home/apt;140;5;7;07/01/2021;0.27;1;0
29213001;64324954;Copacabana;-22.9671;-43.18241;Entire home/apt;260;1;63;24/05/2020;2.17;2;2
29217240;14761381;São Conrado;-22.99547;-43.2541;Private room;200;4;16;25/06/2019;0.64;1;173
29232913;28393440;Leme;-22.96097;-43.16825;Entire home/apt;1000;2;35;14/03/2021;1.41;4;0
29238153;30721359;Ipanema;-22.98289;-43.19921;Entire home/apt;884;2;0;;;27;154
29239595;91654021;Copacabana;-22.96799;-43.1858;Entire home/apt;899;5;0;;;198;180
